epoch,step,loss,lr,time_ms,tokens_per_sec
1,46,3.811088,0.000138,0,191875175.71
2,92,3.626142,0.000276,0,3382899628.25
3,138,3.448615,0.000300,0,3786407766.99
4,184,3.281999,0.000300,0,4299212598.43
5,230,3.120740,0.000300,0,4187116564.42
